country_pair_cat,year,ln_fdi_instock,l_ln_origin_gdp_pc,l_ln_host_gdp_pc,l_ln_origin_pop,l_ln_host_pop,log_dist,l_origin_social_protect_gdp,l_host_social_protect_gdp
AUS_SGP,2008,4.4763575,10.582356,10.620353,15.339086,16.85179,8.748589,0.554101791,8.983810536
AUS_SGP,2009,5.160608,10.596822,10.81178,15.392301,16.87183,8.748589,2.017057111,8.76974511
AUS_SGP,2010,5.3891535,10.569448,10.663648,15.42246,16.89244,8.748589,2.132510059,10.80715653
AUS_SGP,2011,5.3893237,10.762932,10.859425,15.440178,16.907995,8.748589,1.121568328,8.955661015
AUS_SGP,2012,5.5710206,10.894709,11.043207,15.461027,16.92189,8.748589,1.565436577,8.953327961
AUS_SWE,2004,2.5092905,10.518906,10.062499,16.008083,16.806,9.655597,22.96174777,9.389274234
AUS_SWE,2005,2.5556488,10.65707,10.323207,16.012016,16.817593,9.655597,22.5212336,9.785670229
AUS_SWE,2006,2.744475,10.672084,10.434093,16.016016,16.830791,9.655597,22.1310256,9.389974381
AUS_SWE,2007,2.9257913,10.743167,10.492521,16.02164,16.845543,9.655597,21.32402185,9.123021777
AUS_SWE,2008,2.661383,10.88534,10.620353,16.029057,16.85179,9.655597,20.20410284,8.983810536
AUS_SWE,2009,2.6359236,10.92978,10.81178,16.036846,16.87183,9.655597,20.09499124,8.76974511
AUS_SWE,2010,3.014926,10.741952,10.663648,16.045364,16.89244,9.655597,21.77375578,10.80715653
AUS_SWE,2011,2.81588,10.861552,10.859425,16.05389,16.907995,9.655597,20.69178256,8.955661015
AUS_SWE,2012,2.8615844,10.996519,11.043207,16.061441,16.92189,9.655597,20.03710418,8.953327961
AUS_USA,2004,7.4087977,10.583967,10.062499,19.485764,16.806,9.680893,7.095504113,9.389274234
AUS_USA,2005,6.658153,10.638563,10.323207,19.495018,16.817593,9.680893,6.869351488,9.785670229
AUS_USA,2006,6.820501,10.69455,10.434093,19.504236,16.830791,9.680893,6.781991505,9.389974381
AUS_USA,2007,7.032412,10.742869,10.492521,19.513878,16.845543,9.680893,6.707120727,9.123021777
AUS_USA,2008,6.7376704,10.778456,10.620353,19.523388,16.85179,9.680893,6.712153959,8.983810536
AUS_USA,2009,6.929433,10.786895,10.81178,19.532846,16.87183,9.680893,7.732597241,8.76974511
AUS_USA,2010,7.175407,10.760028,10.663648,19.541615,16.89244,9.680893,8.652186927,10.80715653
AUS_USA,2011,7.1635385,10.788635,10.859425,19.549906,16.907995,9.680893,9.009683132,8.955661015
AUS_USA,2012,7.277511,10.817438,11.043207,19.557167,16.92189,9.680893,8.619429825,8.953327961
AUT_BEL,2004,2.0111244,10.3334465,10.380432,16.15502,15.910016,6.8183374,17.30566062,20.97219299
AUT_BEL,2005,2.3797889,10.479812,10.513838,16.159348,15.91622,6.8183374,17.15842403,20.56136148
AUT_BEL,2006,2.9830186,10.517788,10.555894,16.164846,15.923033,6.8183374,17.0013484,20.23215577
